Address,Latitude,Longitude
"10 Pyrmont Bridge Road, CAMPERDOWN  NSW  2050",-33.883854299999996,151.1789521
"10 Randle Street, NEWTOWN  NSW  2042",-33.8954467,151.18697419999995
"10 Rennie Street, REDFERN  NSW  2016",-33.8934711,151.2146628
"10 Renwick Street, ALEXANDRIA  NSW  2015",-33.8995206,151.19322169999995
"10 Reuss Street, GLEBE  NSW  2037",-33.881423600000005,151.1849407
"10 Richards Avenue, SURRY HILLS  NSW  2010",-33.885588,151.2150379
"10 Ross Street, FOREST LODGE  NSW  2037",-33.8840925,151.183575
"10 Ryder Street, DARLINGHURST  NSW  2010",-33.8803536,151.21563319999996
"10 Selwyn Street, PADDINGTON  NSW  2021",-33.8849836,151.2198175
"10 Shelley Street, SYDNEY  NSW  2000",-33.8657947,151.2028679
"10 Sir John Young Crescent, WOOLLOOMOOLOO  NSW  2011",-33.8706276,151.2178164
"10 Stokes Avenue, ALEXANDRIA  NSW  2015",-33.9030731,151.19806430000003
"10 Susan Street, NEWTOWN  NSW  2042",-33.8928539,151.1824892
"10 Sydney Street, ERSKINEVILLE  NSW  2043",-33.899299,151.1873195
"10 Telopea Street, REDFERN  NSW  2016",-33.894322700000004,151.2131096
"10 Thomson Street, DARLINGHURST  NSW  2010",-33.876746999999995,151.21831519999995
"10 Thurlow Street, REDFERN  NSW  2016",-33.8941365,151.2155534
"10 Tusculum Street, POTTS POINT  NSW  2011",-33.8712946,151.2243034
"10 Union Street, PYRMONT  NSW  2009",-33.8693656,151.1943629
"10 Upper Road, FOREST LODGE  NSW  2037",-33.8816774,151.17824850000005
"10 Victoria Road, GLEBE  NSW  2037",-33.8754659,151.17978490000004
"10 Victoria Street, ERSKINEVILLE  NSW  2043",-33.902029399999996,151.18292590000001
"10 Ward Avenue, ELIZABETH BAY  NSW  2011",-33.87408320000001,151.22550800000005
"10 West Avenue, DARLINGHURST  NSW  2010",-33.879257700000004,151.22266969999995
"10 William Lane, WOOLLOOMOOLOO  NSW  2011",-33.8741677,151.21860900000001
"10 Wylde Street, POTTS POINT  NSW  2011",-33.8664451,151.22515719999996
"10 York Street, GLEBE  NSW  2037",-33.8809469,151.1824325
"10 Young Street, REDFERN  NSW  2016",-33.891526299999995,151.2103865
"10-10A Devine Street, ERSKINEVILLE  NSW  2043",-33.904770500000005,151.1819524
"10-12 Birmingham Street, ALEXANDRIA  NSW  2015",-33.919783,151.19661059999999
"10-12 College Street, DARLINGHURST  NSW  2010",-33.87502979999999,151.2133767
"10-12 High Street, MILLERS POINT  NSW  2000",-33.85910560000001,151.2030291
"10-12 Kent Street, MILLERS POINT  NSW  2000",-33.858531299999996,151.2037752
"10-12 Macleay Street, ELIZABETH BAY  NSW  2011",-33.8685905,151.22605330000005
